,Fundo,Emissão,Preço,DatadeEncerramento,CaptaçãoFinal,ResultadodoRateio,TipodeOferta,DatadeConversão,LiberaçãodoLockup,YouTube,Database,PeríododeNegociação,PeríododePreferência,PeríododeSobras,PeríodoPúblico,ProporçãodePreferência,ProporçãodeSobras,InvestimentoMínimo,CaptaçãoMínima,CaptaçãoMáxima,CoordenadorLíder,MétododeRateio,Observações,Documentação,PreçoTotalM
111,HGLG11,7ª,"R$ 160,32",26.08.21,,,Oferta Pública (ICVM 400),01.09.21,Não há,,22.07.21,Não há,29.07 até 10.08.21Liquidação: 12.08.21,Não há,13.08 até 20.08.21Liquidação: 26.08.21,"0,23460317524 (23,46%)",Não há,"R$ 16.032,00 (100 cotas)","R$ 50.000.016,10","R$ 803.999.930,50 (R$ 669.999.967,90 + Lote Adicional de R$ 133.999.962,60)",Credit Suisse,Igualitário (Linear),,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196696&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196697&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196698&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196699&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=209306&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=209668&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 160,32 (Cota de R$ 154,90 + Taxa de R$ 5,42)"
112,HGPO11,2ª,"R$ 206,82",20.05.21,"R$ 20.999.924,89",,Oferta Restrita (ICVM 476),01.06.21,Não há,,14.04.21,Não há,22.04 até 04.05.21Liquidação: 06.05.21,07.05 até 12.05.21Liquidação: 20.05.21,Não há,"0,06245878788 (6,25%)","0,62191280241 (62,19%)",Não há,"R$ 16.000.020,40","R$ 20.999.924,89",Credit Suisse,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=163784&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=163788&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=171545&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178252&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179156&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 206,82 (Cota de R$ 203,77 + Taxa de R$ 3,05)"
113,HGRE11,8ª,"R$ 144,88",,,,Oferta Pública (ICVM 400),01.11.19,,,15.08.19,Não há,23.08 até 04.09.19Liquidação: 06.09.19,Não há,09.09 até 30.09.19Liquidação: 03.10.19,"0,387 (38,7%)",Não há,"R$ 14.488,00 ( cotas)",,,,,,,"R$ 144,88"
114,HGRE11,9ª,"R$ 149,49",03.12.20,"R$ 145.249.730,64",,Oferta Pública (ICVM 400),04.01.21,Não há,"<td><a class=""nt_btn nt_rounded_btn"" href=""https://youtu.be/O0DasdtA8B8"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(244, 180, 0, 1);"" target=""_blank"">YouTube</a></td>",22.10.20,Não há,30.10 até 12.11.20Liquidação: 16.11.20,Não há,17.11 até 27.11.20Liquidação: 03.12.20,"0,1472 (14,72%)",Não há,"R$ 14.949,00 (100 cotas)","R$ 50.000.072,60","R$ 275.999.880,77 (R$ 229.999.900,64 + Lote Adicional de R$ 45.999.980,13)",Credit Suisse,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=122932&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=122934&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=122931&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=129967&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 149,49 (Cota de R$ 144,44 + Taxa de R$ 5,05)"
115,HGRU11,2ª,"R$ 110,78",,,,Oferta Pública (ICVM 400),02.01.20,Não há,,17.10.19,Não há,25.10 até 06.11.19Liquidação: 08.11.19,Não há,11.11 até 27.11.19Liquidação: 03.12.19,"4,5781 (457,81%)",Não há,"R$ 27.695,00 ( cotas)","R$ 100.000.055,54","R$ 881.999.873,37 (R$ 734.999.947,99 + Lote Adicional de R$ 146.999.925,38)",,,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=70117"" rel=""noopener noreferrer"" target=""_blank"">Início das Negociações</a></td>","R$ 110,78 (Cota de R$ 107,03 + Taxa de R$ 3,75)"
116,HGRU11,3ª,"R$ 109,92",,,,Oferta Restrita (ICVM 476),,,,12.05.20,Não há,20.05 até 02.06.20Liquidação: 04.06.20,Não há,Não há,"0,2389 (23,89%)",Não há,Não há,"R$ 20.000.028,00","R$ 299.999.883,00 (R$ 249.999.920,40 + Lote Adicional de R$ 49.999.962,60)",Credit Suisse,Não há,,,"R$ 109,92 (Cota de R$ 107,40 + Taxa de R$ 2,52)"
117,HGRU11,4ª,"R$ 123,37",04.11.20,"R$ 700.000.092,80",,Oferta Pública (ICVM 400),01.12.20,Não há,"<td><a class=""nt_btn nt_rounded_btn"" href=""https://youtu.be/qPipirfCVmQ"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(244, 180, 0, 1);"" target=""_blank"">YouTube</a></td>",25.09.20,Não há,05.10 até 16.10.20Liquidação: 20.10.20,Não há,21.10 até 28.10.20Liquidação: 04.11.20,"0,3904 (39,04%)",Não há,"R$ 30.842,50 (250 cotas)","R$ 50.000.108,80","R$ 700.000.140,48 (R$ 583.333.450,40 + Lote Adicional de R$ 116.666.690,08)",Credit Suisse,,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=114208&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=114205&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=118315&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=118314&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=118318&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a></td>","R$ 123,37 (Cota de R$ 119,20 + Taxa de R$ 4,17)"
118,HLOG11,2ª,"R$ 113,73",24.07.20,,,Oferta Restrita (ICVM 476),03.08.20,,,12.06.20,Não há,19.06 até 01.07.20Liquidação: 02.07.20,06.07 até 09.07.20Liquidação: 15.07.20,Não há,"0,0709 (7,09%)",,Não há,"R$ 1.112.300,00","R$ 15.571.866,31 (R$ 12.235.300,00 + Lote Adicional de R$ 3.336.566,31)",Hedge Investments,Não há,,,"R$ 113,73 (Cota de R$ 111,23 + Taxa de R$ 2,50)"
119,HLOG11,3ª,"R$ 115,13",02.12.20,"R$ 288.256.000,00",,Oferta Restrita (ICVM 476),03.12.20,,,29.09.20,Não há,06.10 até 19.10.20Liquidação: 20.10.20,22.10 até 29.10.20Liquidação: 06.11.20,Não há,"0,5976 (59,76%)","6,0773220443522 (607,73%)",Não há,"R$ 1.126.000,00","R$ 288.261.292,20 (R$ 113.726.000,00 + Lote Adicional de R$ 174.535.292,20)",Hedge Investments,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=118784&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=118787&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=122804&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a></td>","R$ 115,13 (Cota de R$ 112,60 + Taxa de R$ 2,53)"
120,HOSI11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),21.02.20,,,Não há,Não há,Não há,Não há,27.01 até 11.02.20Liquidação: 17.02.20,Não há,Não há,"R$ 1.000,00 ( cotas)","R$ 150.000.000,00","R$ 420.000.000,00 (R$ 350.000.000,00 + Lote Adicional de R$ 70.000.000,00)",Easynvest,Proporcional,,,"R$ 100,00 (Cota de R$ 92,17 + Taxa de R$ 7,83)"
121,HPDP11,2ª,"R$ 100,00",10.02.20,,,Oferta Restrita (ICVM 476),,,,15.01.20,Não há,22.01 até 04.02.20Liquidação: 04.02.20,Não há,Não há,"0,0356 (3,56%)",Não há,Não há,"R$ 1.000.000,00","R$ 10.000.000,00",,Não há,,,"R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
122,HREC11,2ª,"R$ 101,00",16.04.21,"R$ 27.450.000,00",Não houve,Oferta Restrita (ICVM 476),Pendente,,,30.10.20,Não há,03.11 até 16.11.20Liquidação: 16.11.20,Não há,Não há,"0,5543237250554 (55,43%)",Não há,Não há,"R$ 1.000.000,00","R$ 150.000.000,00 (R$ 50.000.000,00 + Lote Adicional de R$ 100.000.000,00)",Hedge Investments,Não há,"¹ Data de encerramento do Exercício de Preferência na B3 não especificada. Portanto, confirme a data com a sua corretora.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124446&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124448&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124698&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=165848&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 101,00 (Cota de R$ 100,00 + Taxa de R$ 1,00)"
123,HREC11,3ª,"R$ 99,39",13.08.21,"R$ 164.696.175,00",,Oferta Restrita (ICVM 476),Pendente,,,13.05.21,Não há,17.05 até 27.05.21Liquidação: 28.05.21,01.06 até 07.06.21Liquidação: 14.06.21,Não há,"1,2749681257969 (127,5%)","14,4580211671837 (1445,8%)",Não há,"R$ 993.900,00","R$ 198.780.000,00 (R$ 149.085.000,00 + Lote Adicional de R$ 49.695.000,00)",Hedge Investments,,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172610&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172609&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172611&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177995&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante – Retificação do Cronograma</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=180797&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207535&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 99,39 (Cota de R$ 98,65 + Taxa de R$ 0,74)"
124,HSAF11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),,Não há,,Não há,Não há,Não há,Não há,29.07 até 27.08.20Liquidação: 03.09.20,Não há,Não há,"R$ 25.000,00 (250 cotas)","R$ 75.000.000,00","R$ 300.000.000,00 (R$ 250.000.000,00 + Lote Adicional de R$ 50.000.000,00)",XP Investimentos,Igualitário (Linear),,,"R$ 100,00 (Cota de R$ 96,34 + Taxa de R$ 3,66)"
125,HSAF11,2ª,"R$ 96,84",10.06.21,"R$ 83.999.969,00",,Oferta Restrita (ICVM 476),16.06.21,31.08.21,,28.04.21,Não há,30.04 até 12.05.21Liquidação: 13.05.21,17.05 até 20.05.21Liquidação: 27.05.21,Não há,"0,80316954508514 (80,32%)","2,34535382911 (234,54%)",Não há,"R$ 10.000.005,50","R$ 83.999.969,00 (R$ 70.000.038,50 + Lote Adicional de R$ 13.999.930,50)",Terra Investimentos,,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166862&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166861&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166865&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=174226&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href="" https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=180799&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Encerramento da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=184102&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 96,84 (Cota de R$ 96,50 + Taxa de R$ 0,34)"
126,HSLG11,4ª,"R$ 100,00",15.12.20,"R$ 490.000.000,00",,Oferta Pública (ICVM 400),22.12.20,Não há,,Não há,Não há,Não há,Não há,06.11 até 07.12.20Liquidação: 14.12.20,Não há,Não há,"R$ 500,00 (5 cotas)","R$ 490.000.000,00","R$ 588.000.000,00 (R$ 490.000.000,00 + Lote Adicional de R$ 98.000.000,00)",Banco Itaú BBA,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=130456&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=130455&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=132783&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=134143&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 100,00 (Cota de R$ 95,92 + Taxa de R$ 4,08)"
127,HSML11,2ª,"R$ 102,00",,,,Oferta Pública (ICVM 400),,,,21.10.19,28.10 até 01.11.19,28.10 até 07.11.19Liquidação: 08.11.19,11.11 até 14.11.19Liquidação: 22.11.19,28.10 até 27.11.19Liquidação: 03.12.19,"1,3378 (133,78%)",,"R$ 14.700,00 ( cotas)","R$ 264.000.044,00","R$ 1.062.000.030,00 (R$ 885.000.074,00 + Lote Adicional de R$ 176.999.956,00)",,,,,"R$ 102,00 (Cota de R$ 98,00 + Taxa de R$ 4,00)"
128,HTMX11,14ª,"R$ 141,47",,,,Oferta Restrita (ICVM 476),,,,24.10.19,Não há,31.10 até 12.11.19Liquidação: 13.11.19,Não há,Não há,"0,1233 (12,33%)",Não há,Não há,"R$ 19.000.092,44","R$ 19.000.092,44",,Não há,,,"R$ 141,47 (Cota de R$ 137,62 + Taxa de R$ 3,85)"
129,HUSI11,2ª,"R$ 977,00",,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,12.11 até 20.02.20Liquidação: 02.03.20,Não há,Não há,"R$ 4.885,00 ( cotas)","R$ 80.136.000,00","R$ 120.204.000,00 (R$ 100.170.000,00 + Lote Adicional de R$ 20.034.000,00)",Planner,Proporcional,,,"R$ 977,00 (Cota de R$ 954,00 + Taxa de R$ 23,00)"
130,IBFF11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),11.10.19,,,Não há,Não há,Não há,Não há,30.07 até 05.09.19Liquidação: 11.09.19,Não há,Não há,"R$ 1.000,00 ( cotas)",,,,,,,"R$ 100,00"
131,IFID11,1ª,"R$ 100,00",24.02.21,,,Oferta Pública (ICVM 400),01.03.21,Não há,,Não há,Não há,Não há,Não há,06.01 até 12.02.21Liquidação: 23.02.21,Não há,Não há,"R$ 500,00 (5 cotas)","R$ 50.000.000,00","R$ 180.000.000,00 (R$ 150.000.000,00 + Lote Adicional de R$ 30.000.000,00)",Inter DTVM,Igualitário (Linear),¹ Período de Desistência: 26.01 até 01.02.21,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141840&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=129644&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141856&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Modificação da Oferta</a></td>","R$ 100,00 (Cota de R$ 95,68 + Taxa de R$ 4,32)"
132,IFIE11,1ª,"R$ 100,00",21.01.21,,,Oferta Pública (ICVM 400),,Não há,,Não há,Não há,Não há,Não há,15.07 até 26.08.20Liquidação: 31.08.20,Não há,Não há,Não há,"R$ 50.000.000,00","R$ 498.000.000,00 (R$ 415.000.000,00 + Lote Adicional de R$ 83.000.000,00)",Inter DTVM,Proporcional (acima de R$100 mil),,,"R$ 100,00 (Cota de R$ 95,94 + Taxa de R$ 4,06)"
133,IRDM11,10ª,"R$ 101,41",19.08.21,"R$ 608.460.000,00",,Oferta Restrita (ICVM 476),15.09.21,,,16.07.21,Não há,23.07 até 04.08.21Liquidação: 05.08.21,09.08 até 12.08.21Liquidação: 19.08.21,Não há,"0,22727272727 (22,73%)","0,61735774957 (61,74%)",Não há,"R$ 10.141.000,00","R$ 608.460.000,00 (R$ 507.050.000,00 + Lote Adicional de R$ 101.410.000,00)",XP Investimentos,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=194352&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=195935&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=195931&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=201003&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=208307&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=212941&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 101,41 (Cota de R$ 101,41 + Taxa de R$ 0,00)"
134,IRDM11,2ª,"R$ 97,80",,"R$ 36.000.082,20",,Oferta Restrita (ICVM 476),,,,,Não há,29.11 até 10.12.18Liquidação: 12.12.18,Não há,Não há,"0,34083240741 (34,08%)",Não há,Não há,"R$ 10.000.050,00","R$ 36.000.082,20",XP Investimentos,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=36203&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=36204&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=38289&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 97,80"
135,IRDM11,3ª,"R$ 95,73",,"R$ 40.206.600,00",,Oferta Restrita (ICVM 476),,,,07.03.19,,,,Não há,"0,29003541885 (29%)",,Não há,"R$ 10.000.050,00","R$ 40.206.600,00",BTG Pactual,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=43053&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=45045&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 95,73"
136,IRDM11,4ª,"R$ 99,59",,"R$ 119.508.000,00",,Oferta Restrita (ICVM 476),,,,16.07.19,,,,Não há,"0,642364243 (64,24%)",,Não há,"R$ 9.959.000,00","R$ 119.508.000,00",BTG Pactual,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=54052&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=54051&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=56448&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 99,59"
137,IRDM11,5ª,"R$ 100,61",,"R$ 191.159.000,00",,Oferta Restrita (ICVM 476),06.01.20,,,30.10.19,Não há,06.11 até 19.11.19Liquidação: 21.11.19,Não há,Não há,"0,6192759751 (61,93%)",Não há,Não há,"R$ 10.061.000,00","R$ 191.159.000,00",,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=64011&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=64007&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=73756&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 100,61"
